id,district,lor,street,month,hour,weekday,injury,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude,Combo_type
193218,Tempelhof-Schöneberg,7010102,Nollendorfplatz,March,16,Friday,minor,0,Turning,Daylight,0,1,0,1,0,0,Dry,13.34988,52.50045,car + motorbike + 
193219,Mitte,1011102,Großer Tiergarten,March,15,Tuesday,minor,5,Crossing,Daylight,0,1,0,0,0,0,Wet,13.35104,52.5149,car + 
193220,Tempelhof-Schöneberg,7050503,Eisenacher Straße,March,17,Tuesday,serious,0,Driving,Daylight,1,0,0,0,0,0,Dry,13.39586,52.44537,bicycle + 
193221,Neukölln,8010301,Reuterkiez,March,20,Thursday,minor,1,Paralle Traffic,Night,1,1,0,0,0,0,Wet,13.42965,52.48639,bicycle + car + 
193222,Mitte,1044102,Schillerpark,March,11,Tuesday,minor,1,Paralle Traffic,Daylight,0,1,0,0,1,0,Dry,13.34914,52.5567,car + truck + 
193223,Friedrichshain-Kreuzberg,2040502,Friedenstraße,March,15,Tuesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.42967,52.52311,car + 
193224,Charlottenburg-Wilmersdorf,4030929,Hindemithplatz,March,11,Tuesday,serious,0,Paralle Traffic,Daylight,0,1,0,1,0,0,Dry,13.31365,52.50479,car + motorbike + 
193225,Reinickendorf,12302109,Treuenbrietzener Straße,March,15,Tuesday,minor,5,Crossing,Daylight,0,1,0,0,0,0,Wet,13.36781,52.60274,car + 
193226,Tempelhof-Schöneberg,7050503,Eisenacher Straße,March,11,Tuesday,serious,3,Stationary Traffic,Daylight,0,0,0,1,0,1,Dry,13.40358,52.44817,motorbike + other
193227,Friedrichshain-Kreuzberg,2020204,Urbanstraße,March,9,Tuesday,minor,0,Turning,Daylight,1,0,0,0,0,1,Dry,13.39453,52.4917,bicycle + other
